style_id,votes,review_overall,year,local_review
61,12,3.73,2025,Yes
9,12,3.69,2025,Yes
61,11,4.16,2025,Yes
64,11,4.13,2025,Yes
36,11,3.92,2025,Yes
10,11,3.87,2025,Yes
10,11,3.85,2025,Yes
10,11,3.84,2025,Yes
10,11,4.05,2025,Yes
10,10,3.84,2025,Yes
7,10,3.71,2025,Yes
9,9,4.17,2025,Yes
40,9,3.88,2025,Yes
29,9,3.85,2025,Yes
10,9,3.76,2025,Yes
56,9,3.73,2025,Yes
50,9,3.69,2025,Yes
5,9,3.65,2025,Yes
9,8,4.38,2025,Yes
2,8,3.99,2025,Yes
10,8,3.98,2025,Yes
10,8,3.96,2025,Yes
61,8,3.85,2025,Yes
25,8,3.81,2025,Yes
27,8,3.76,2025,Yes
10,8,3.72,2025,Yes
63,7,3.92,2025,Yes
4,7,3.89,2025,Yes
22,7,3.86,2025,Yes
7,7,3.85,2025,Yes
10,7,3.81,2025,Yes
10,7,3.76,2025,Yes
12,7,3.76,2025,Yes
21,7,3.74,2025,Yes
9,7,4.1,2025,Yes
40,7,4.01,2025,Yes
42,6,4.21,2025,Yes
11,6,4.16,2025,Yes
9,5,4.14,2025,Yes
10,5,3.99,2025,Yes
24,5,3.92,2025,Yes
10,5,4.08,2025,Yes
62,4,4.64,2025,Yes
9,4,4.38,2025,Yes
10,4,4.32,2025,Yes
61,4,4.27,2025,Yes
9,4,4.27,2025,Yes
9,4,4.22,2025,Yes
9,4,4.09,2025,Yes
12,3,4.48,2025,Yes
64,3,4.42,2025,Yes
64,3,4.4,2025,Yes
9,3,4.4,2025,Yes
64,3,4.4,2025,Yes
10,3,4.36,2025,Yes
64,3,4.36,2025,Yes
61,3,4.36,2025,Yes
64,3,4.35,2025,Yes
